customer_count,vehicle_capacity,instance_name,depot_setting,clustering_strategy,selected_run_timestamp,final_distance,n_routes,avg_utilisation,min_utilisation,max_utilisation,cluster_count,cluster_sizes,capacity_feasible,customer_coverage_feasible,structural_validity,distance_change_vs_no_clustering_pct,route_change_vs_no_clustering,utilisation_change_vs_no_clustering,notes_or_warnings
60,25,60c_cap25_dem1-6,corner_depot,kmeans,run_2026_07_09_021821,571.375034614279,13,0.683076923076923,0.0,1.0,9,6|10|4|6|9|9|3|6|7,True,True,True,0.3518366816419466,3,-0.20492307692307687,
60,25,60c_cap25_dem1-6,corner_depot,no_clustering,run_2026_07_08_175044,569.3717758519158,10,0.8879999999999999,0.24,1.0,,,True,True,True,,,,
60,25,60c_cap25_dem1-6,corner_depot,sweep,run_2026_07_09_015913,623.1097679493423,10,0.8880000000000001,0.56,1.0,10,7|6|8|5|7|5|7|7|5|3,True,True,True,9.438120113527173,0,2.220446049250313e-16,
60,35,60c_cap35_dem1-6,corner_depot,kmeans,run_2026_07_09_021821,449.7507095158236,10,0.6342857142857142,0.0,1.0,7,7|10|7|9|11|10|6,True,True,True,-1.5750505314636862,3,-0.2718367346938776,
60,35,60c_cap35_dem1-6,corner_depot,no_clustering,run_2026_07_08_175044,456.9478693607013,7,0.9061224489795918,0.6571428571428571,1.0,,,True,True,True,,,,
60,35,60c_cap35_dem1-6,corner_depot,sweep,run_2026_07_09_015913,458.5848765762041,7,0.9061224489795918,0.6,1.0,7,10|8|10|9|9|9|5,True,True,True,0.35824813403618566,0,0.0,
80,15,80c_cap15_dem1-6,corner_depot,kmeans,run_2026_07_09_021822,1389.817682094957,25,0.7493333333333334,0.0,1.0,19,7|3|1|4|5|5|6|8|7|4|2|2|4|1|3|2|4|8|4,True,True,True,-1.2161590725784281,6,-0.23663157894736842,
80,15,80c_cap15_dem1-6,corner_depot,no_clustering,run_2026_07_08_175044,1406.9281666381887,19,0.9859649122807018,0.7333333333333333,1.0,,,True,True,True,,,,
80,15,80c_cap15_dem1-6,corner_depot,sweep,run_2026_07_09_015914,1525.1693194232466,22,0.8515151515151516,0.0,1.0,22,4|3|3|5|2|3|7|3|2|5|5|4|3|3|2|3|4|4|5|3|3|4,True,True,True,8.404206809477097,3,-0.13444976076555026,
80,25,80c_cap25_dem1-6,corner_depot,kmeans,run_2026_07_09_021822,912.6391974584776,17,0.6611764705882353,0.0,1.0,12,8|6|7|7|8|5|6|9|8|3|7|6,True,True,True,-1.601311822225993,5,-0.2754901960784314,
80,25,80c_cap25_dem1-6,corner_depot,no_clustering,run_2026_07_08_175045,927.4912240797756,12,0.9366666666666666,0.52,1.0,,,True,True,True,,,,
80,25,80c_cap25_dem1-6,corner_depot,sweep,run_2026_07_09_015914,1038.913116843242,12,0.9366666666666665,0.88,1.0,12,7|6|6|9|5|9|7|5|7|8|5|6,True,True,True,12.013255745251424,0,-1.1102230246251565e-16,
80,35,80c_cap35_dem1-6,corner_depot,kmeans,run_2026_07_09_021823,720.2351546751779,12,0.669047619047619,0.0,1.0,9,8|12|7|7|11|11|6|10|8,True,True,True,-2.3049540610134063,3,-0.223015873015873,
80,35,80c_cap35_dem1-6,corner_depot,no_clustering,run_2026_07_08_175045,737.2279195456705,9,0.892063492063492,0.17142857142857143,1.0,,,True,True,True,,,,
80,35,80c_cap35_dem1-6,corner_depot,sweep,run_2026_07_09_015915,800.4805539739142,9,0.892063492063492,0.5714285714285714,1.0,9,9|9|12|10|10|7|12|7|4,True,True,True,8.579793677269338,0,0.0,
