timing_lns_scenario,operator_pair,instance_name,customer_count,vehicle_capacity,baseline_reference_scenario,baseline_run_path,baseline_reference_system_distance,total_lns_system_distance,system_improvement_distance,system_improvement_percent,baseline_reference_customer_delivery_distance,customer_delivery_lns_distance,customer_delivery_improvement_distance,customer_delivery_improvement_percent,supplier_depot_replenishment_distance,depot_timing_feasibility_after_lns,n_depot_timing_infeasible_routes,latest_depot_route_finish_time_after_lns_label,n_remove,rejected_infeasible_moves,notes_or_warnings
fixed_split,related_regret,100c_cap35,100,35,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/100c_cap35/run_2026_07_16_191005,1180.2984713334815,1101.9290122102143,78.36945912326723,6.639800103674347,940.2984713334815,861.9290122102142,78.36945912326735,8.334530100014724,240.0,True,0,14:50,12,0,
fixed_split,related_regret,150c_cap15,150,15,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/150c_cap15/run_2026_07_16_191005,4367.799321342537,4251.761705558525,116.0376157840119,2.6566608776418152,3407.799321342537,3291.7617055585256,116.03761578401145,3.405060123619523,960.0,True,0,14:20,16,0,
fixed_split,related_regret,150c_cap25,150,25,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/150c_cap25/run_2026_07_16_191006,2935.1454350079275,2861.8674211034527,73.27801390447485,2.4965718233405676,2335.1454350079275,2261.8674211034527,73.27801390447485,3.1380492540596756,600.0,True,0,15:13,25,0,
fixed_split,related_regret,150c_cap35,150,35,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/150c_cap35/run_2026_07_16_191007,2425.6999709924216,2334.574697120456,91.12527387196542,3.75665890100512,1945.6999709924216,1854.5746971204564,91.12527387196519,4.68341857586018,480.0,True,0,17:10,21,0,
fixed_split,related_regret,200c_cap15,200,15,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/200c_cap15/run_2026_07_16_191008,7659.378827824319,7506.309620362662,153.06920746165724,1.998454586233558,5819.378827824319,5666.309620362662,153.06920746165724,2.630335848386158,1840.0,True,0,15:25,4,0,
fixed_split,related_regret,200c_cap25,200,25,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/200c_cap25/run_2026_07_16_191010,4969.3166447342355,4868.437015441494,100.87962929274181,2.0300503369943126,3849.316644734236,3748.437015441494,100.87962929274181,2.6207152750279064,1120.0,True,0,16:33,28,0,
fixed_split,related_regret,200c_cap35,200,35,fixed_timing_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_fixed_split_v1/200c_cap35/run_2026_07_16_191012,3943.2673060452103,3727.347524716412,215.9197813287983,5.475656722479435,3063.2673060452103,2847.347524716412,215.9197813287983,7.048675801249569,880.0,True,0,16:40,30,0,
wave_speed30_14wave_split,random_regret,20c_cap15,20,15,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/20c_cap15/run_2026_07_17_212253,139.58790101324328,135.04447944571342,4.543421567529862,3.254882073983481,115.58790101324328,111.0444794457134,4.543421567529876,3.9307068713094124,24.0,True,0,14:20,2,0,
wave_speed30_14wave_split,random_regret,20c_cap25,20,25,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/20c_cap25/run_2026_07_17_212254,122.23786144998746,117.69443988245759,4.543421567529876,3.7168693182584653,98.23786144998746,93.69443988245759,4.543421567529876,4.624919048999163,24.0,True,0,14:20,2,0,
wave_speed30_14wave_split,random_regret,20c_cap35,20,35,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/20c_cap35/run_2026_07_17_212254,122.23786144998746,117.69443988245759,4.543421567529876,3.7168693182584653,98.23786144998746,93.69443988245759,4.543421567529876,4.624919048999163,24.0,True,0,14:20,2,0,
wave_speed30_14wave_split,random_regret,40c_cap15,40,15,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/40c_cap15/run_2026_07_17_212255,462.0353041541975,446.03980625415386,15.995497900043631,3.4619644335025463,366.0353041541975,350.03980625415386,15.995497900043631,4.369933096209022,96.0,True,0,15:23,3,0,
wave_speed30_14wave_split,random_regret,40c_cap25,40,25,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/40c_cap25/run_2026_07_17_212255,352.4975153824383,327.20526874744905,25.292246634989226,7.175156002886625,304.4975153824383,279.20526874744905,25.292246634989226,8.306224306370135,48.0,True,0,16:39,5,0,
wave_speed30_14wave_split,random_regret,40c_cap35,40,35,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/40c_cap35/run_2026_07_17_212256,349.7402549291218,315.25859087837415,34.48166405074767,9.859220825962886,301.7402549291218,267.25859087837415,34.48166405074767,11.42759823638624,48.0,True,0,16:39,5,0,
wave_speed30_14wave_split,random_regret,60c_cap15,60,15,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/60c_cap15/run_2026_07_17_212256,966.5622095668546,929.3666802864236,37.19552928043095,3.848229209902524,774.5622095668546,737.3666802864236,37.19552928043095,4.802135815692735,192.0,True,0,15:49,4,0,
wave_speed30_14wave_split,random_regret,60c_cap25,60,25,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/60c_cap25/run_2026_07_17_212257,734.4171214434904,697.6128575068293,36.80426393666107,5.011357015250764,614.4171214434904,577.6128575068293,36.80426393666107,5.990110407436955,120.0,True,0,16:57,3,0,
wave_speed30_14wave_split,random_regret,60c_cap35,60,35,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/60c_cap35/run_2026_07_17_212257,631.6834867460417,597.498061908772,34.18542483726969,5.4117965016573875,559.6834867460417,525.498061908772,34.18542483726969,6.1079924004942905,72.0,True,0,16:57,7,0,
wave_speed30_14wave_split,random_regret,80c_cap15,80,15,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/80c_cap15/run_2026_07_17_212258,1507.7653021673277,1438.1905543030598,69.57474786426792,4.614428237886767,1219.7653021673277,1150.1905543030598,69.57474786426792,5.7039454836635155,288.0,True,0,16:40,5,0,
wave_speed30_14wave_split,random_regret,80c_cap25,80,25,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/80c_cap25/run_2026_07_17_212258,1148.9299630247156,1079.5564172239456,69.37354580076999,6.038100496407512,956.9299630247157,887.5564172239457,69.37354580076999,7.249594900497248,192.0,True,0,17:09,9,0,
wave_speed30_14wave_split,random_regret,80c_cap35,80,35,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/80c_cap35/run_2026_07_17_212259,1011.4859000471055,967.9469535376667,43.5389465094388,4.304454121150989,851.4859000471055,807.9469535376667,43.5389465094388,5.113290367700764,160.0,True,0,17:09,10,0,
wave_speed30_14wave_split,random_regret,100c_cap15,100,15,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/100c_cap15/run_2026_07_17_212259,2257.7083726663295,2180.0126661067334,77.69570655959615,3.4413526343899923,1817.7083726663295,1740.0126661067336,77.69570655959592,4.274376887290614,440.0,True,0,16:50,13,0,
wave_speed30_14wave_split,random_regret,100c_cap25,100,25,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/100c_cap25/run_2026_07_17_212300,1753.487371849026,1654.9459460206851,98.54142582834083,5.61973969190496,1433.487371849026,1334.9459460206851,98.54142582834083,6.874244430994482,320.0,True,0,17:28,9,0,
wave_speed30_14wave_split,random_regret,100c_cap35,100,35,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/100c_cap35/run_2026_07_17_212300,1582.006811234781,1434.0339537229906,147.97285751179038,9.353490545106771,1342.006811234781,1194.0339537229906,147.97285751179038,11.02623744328395,240.0,True,0,17:41,8,0,
wave_speed30_14wave_split,random_regret,150c_cap15,150,15,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/150c_cap15/run_2026_07_17_212301,4965.640936704038,4823.519031986575,142.1219047174627,2.862105950250133,4005.6409367040374,3863.519031986575,142.12190471746226,3.5480440449663586,960.0,True,0,17:55,11,0,
wave_speed30_14wave_split,random_regret,150c_cap25,150,25,dispatch_wave_speed30_14wave_split_repair,/Users/danishali/Desktop/Desktop - Danish’s MacBook Air/Master Thesis/results/hybrid_supplier_customer_kmeans_timing_waves_constructed_split_14wave_v1/150c_cap25/run_2026_07_17_212301,3728.830559224389,3550.5824450673713,178.24811415701788,4.780268540657266,3128.830559224389,2950.5824450673713,178.24811415701788,5.6969564437265054,600.0,True,0,17:58,5,0,
