timing_lns_scenario,instance_name,customer_count,vehicle_capacity,random_regret_total_lns_system_distance,random_regret_system_improvement_percent,random_regret_n_remove,random_regret_rejected_infeasible_moves,random_regret_timing_feasible,related_regret_total_lns_system_distance,related_regret_system_improvement_percent,related_regret_n_remove,related_regret_rejected_infeasible_moves,related_regret_timing_feasible,winning_operator_pair_by_system_distance,related_minus_random_system_distance,related_minus_random_system_distance_pct_of_random,notes_or_warnings
fixed_split,40c_cap25,40,25,254.47961641307649,3.307612778667654,5,0,True,254.71032519132592,3.2199523882745598,2,0,True,random_regret,0.23070877824943636,0.09065904039832612,
fixed_split,40c_cap35,40,35,233.1465666365013,7.709684051125502,2,0,True,233.1465666365013,7.709684051125502,3,0,True,tie,0.0,0.0,
fixed_split,60c_cap15,60,15,830.0900319492309,2.8651920702459575,13,0,True,827.7639277739154,3.137386258343007,9,0,True,related_regret,-2.3261041753155496,-0.2802231186722426,
fixed_split,60c_cap25,60,25,575.5461611703354,5.736253268095418,11,0,True,575.2370106123944,5.7868863742853955,8,0,True,related_regret,-0.3091505579409386,-0.053714294143201516,
fixed_split,60c_cap35,60,35,460.05139427528934,5.278727563105321,9,0,True,460.05139427528934,5.278727563105321,11,0,True,tie,0.0,0.0,
fixed_split,80c_cap15,80,15,1307.9784385015103,4.32967649267728,5,0,True,1305.7298578266905,4.494145901545195,10,0,True,related_regret,-2.2485806748197774,-0.17191267138897726,
fixed_split,80c_cap25,80,25,898.7566197509722,4.157665654303072,15,0,True,903.5692716443932,3.6444501944975958,11,0,True,random_regret,4.812651893421048,0.5354788813410397,
fixed_split,80c_cap35,80,35,764.9642515532304,1.9772995827312474,16,0,True,739.1665693779272,5.283020688253645,12,0,True,related_regret,-25.79768217530318,-3.372403628394658,
wave_speed30_14wave_split,100c_cap15,100,15,2180.0126661067334,3.4413526343899923,13,0,True,2195.803617179541,2.741928773275512,9,0,True,random_regret,15.79095107280773,0.7243513452152853,
wave_speed30_14wave_split,100c_cap25,100,25,1654.9459460206851,5.61973969190496,9,0,True,1658.46405669676,5.419104618476109,8,0,True,random_regret,3.5181106760749117,0.2125816063379111,
wave_speed30_14wave_split,100c_cap35,100,35,1434.0339537229906,9.353490545106771,8,0,True,1434.0339537229906,9.353490545106771,4,0,True,tie,0.0,0.0,
wave_speed30_14wave_split,150c_cap15,150,15,4823.519031986575,2.862105950250133,11,0,True,4819.258620210583,2.9479037723298718,5,0,True,related_regret,-4.260411775991997,-0.0883258000588284,
wave_speed30_14wave_split,150c_cap25,150,25,3550.5824450673713,4.780268540657266,5,0,True,3557.6383747158793,4.591042199142416,6,0,True,random_regret,7.055929648508027,0.19872597686924412,
wave_speed30_14wave_split,150c_cap35,150,35,3133.883080257896,5.0180984340892945,9,0,True,3154.7594618261874,4.385375907948124,9,0,True,random_regret,20.876381568291436,0.6661506199705912,
wave_speed30_14wave_split,200c_cap15,200,15,8628.798579277194,7.27800958033755,8,0,True,8692.533279317984,6.593139236883873,7,0,True,random_regret,63.7347000407899,0.7386277412229125,
wave_speed30_14wave_split,200c_cap25,200,25,6325.418393256142,5.989619171962617,13,0,True,6375.965628406077,5.238370079678692,10,0,True,random_regret,50.54723514993475,0.7991129124964411,
wave_speed30_14wave_split,200c_cap35,200,35,5604.454539280656,10.003621752796551,18,0,True,5643.969905326767,9.369083671643882,8,0,True,random_regret,39.51536604611101,0.7050706856332695,
wave_speed30_14wave_split,20c_cap15,20,15,135.04447944571342,3.254882073983481,2,0,True,135.04447944571342,3.254882073983481,2,0,True,tie,0.0,0.0,
